trailText,trail,bodyPart,instruction,feedback,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimuli.thisRepN,stimuli.thisTrialN,stimuli.thisN,stimuli.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,space,1.19327712059,,,2014_jul_28_1614,50.286832375,simple_imagined_movement,001,1,
 Trail 1,1,right_foot, Right Foot, Right foot moved.,0,0,0,0,0,0,0,3,,,,,,,,,2014_jul_28_1614,50.286832375,simple_imagined_movement,001,1,
 Trail 1,1,left_foot, Left Foot, Left foot moved,0,0,0,0,0,1,1,2,,,,,,,,,2014_jul_28_1614,50.286832375,simple_imagined_movement,001,1,
 Trail 1,1,right_hand, Right Hand, Right hand moved.,0,0,0,0,0,2,2,1,,,,,,,,,2014_jul_28_1614,50.286832375,simple_imagined_movement,001,1,
 Trail 1,1,left_hand, Left Hand, Left hand moved.,0,0,0,0,0,3,3,0,,,,,,,,,2014_jul_28_1614,50.286832375,simple_imagined_movement,001,1,
 Trail 1,1,,,,0,0,0,0,,,,,,,,,,,,,2014_jul_28_1614,50.286832375,simple_imagined_movement,001,1,
 Trail 2,2,left_foot, Left Foot, Left foot moved,0,1,1,1,0,0,0,2,,,,,,,,,2014_jul_28_1614,50.286832375,simple_imagined_movement,001,1,
 Trail 2,2,right_hand, Right Hand, Right hand moved.,0,1,1,1,0,1,1,1,,,,,,,,,2014_jul_28_1614,50.286832375,simple_imagined_movement,001,1,
 Trail 2,2,left_hand, Left Hand, Left hand moved.,0,1,1,1,0,2,2,0,,,,,,,,,2014_jul_28_1614,50.286832375,simple_imagined_movement,001,1,
 Trail 2,2,right_foot, Right Foot, Right foot moved.,0,1,1,1,0,3,3,3,,,,,,,,,2014_jul_28_1614,50.286832375,simple_imagined_movement,001,1,
 Trail 2,2,,,,0,1,1,1,,,,,,,,,,,,,2014_jul_28_1614,50.286832375,simple_imagined_movement,001,1,
,,,,,,,,,,,,,,,,,,,space,1.94003391266,2014_jul_28_1614,50.286832375,simple_imagined_movement,001,1,
,,left_hand, Left Hand, Left hand moved.,,,,,,,,,0,0,0,0,,,,,2014_jul_28_1614,50.286832375,simple_imagined_movement,001,1,
,,right_foot, Right Foot, Right foot moved.,,,,,,,,,0,1,1,3,,,,,2014_jul_28_1614,50.286832375,simple_imagined_movement,001,1,
,,left_foot, Left Foot, Left foot moved,,,,,,,,,0,2,2,2,,,,,2014_jul_28_1614,50.286832375,simple_imagined_movement,001,1,
,,right_hand, Right Hand, Right hand moved.,,,,,,,,,0,3,3,1,,,,,2014_jul_28_1614,50.286832375,simple_imagined_movement,001,1,
