# gold @ 40hz
# stimTime: (1x255)


0	25	50	75	100	125	150	175	200	225	250	275	300	325	350	375	400	425	450	475	500	525	550	575	600	625	650	675	700	725	750	775	800	825	850	875	900	925	950	975	1000	1025	1050	1075	1100	1125	1150	1175	1200	1225	1250	1275	1300	1325	1350	1375	1400	1425	1450	1475	1500	1525	1550	1575	1600	1625	1650	1675	1700	1725	1750	1775	1800	1825	1850	1875	1900	1925	1950	1975	2000	2025	2050	2075	2100	2125	2150	2175	2200	2225	2250	2275	2300	2325	2350	2375	2400	2425	2450	2475	2500	2525	2550	2575	2600	2625	2650	2675	2700	2725	2750	2775	2800	2825	2850	2875	2900	2925	2950	2975	3000	3025	3050	3075	3100	3125	3150	3175	3200	3225	3250	3275	3300	3325	3350	3375	3400	3425	3450	3475	3500	3525	3550	3575	3600	3625	3650	3675	3700	3725	3750	3775	3800	3825	3850	3875	3900	3925	3950	3975	4000	4025	4050	4075	4100	4125	4150	4175	4200	4225	4250	4275	4300	4325	4350	4375	4400	4425	4450	4475	4500	4525	4550	4575	4600	4625	4650	4675	4700	4725	4750	4775	4800	4825	4850	4875	4900	4925	4950	4975	5000	5025	5050	5075	5100	5125	5150	5175	5200	5225	5250	5275	5300	5325	5350	5375	5400	5425	5450	5475	5500	5525	5550	5575	5600	5625	5650	5675	5700	5725	5750	5775	5800	5825	5850	5875	5900	5925	5950	5975	6000	6025	6050	6075	6100	6125	6150	6175	6200	6225	6250	6275	6300	6325	6350
# stimSeq : (8x255)


0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	1	1	0	0	0	0	1	1	0	0	1	0	0	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	0	1	0	1	0	1	1	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	1	0	1	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	1	0	0	1	1	0	1	1	0	1	0	0	0	1	1	1	1	0	1	0	0	1	1	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	0	1	1	1	0	1	1	1	0	0	0	0	1	1	1	0	0	0	1	1	0	1	1	1	1	0	1	1	0	1	0	1	1	1	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	1	0	0	0
1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	0	1	1	1	1	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	1	1	0	1	1	1	0	1	1	1	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	1	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	1	0	1	0	1	1	1	1	0
1	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0	0	0	1	0	0	0	1	0	1	1	0	1	1	1	1	0	1	0	1	1	1	0	1	0	1	0	1	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	1	1	1	1	1	0	0	0	0	1	0	0	1	1	0	1	0	1	0	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	0	1	0	1	0	1	0	1	0	1	0	1	1	0	1	1	0	1	1	1	1	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	1	1	1	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	1	0	0	1	0	1
0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	1	0	1	1	1	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	1	0	1	1	1	0	1	0	1	0	0	1	1	0	1	0	0	1	0	1	0	1	1	1	1	0	0	1	0	0	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	1	0	1	1	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	1	1	1	1	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	1	1	0	1	1	1	0	1	0	1	0	1	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	1	1	1	1	1	0	1	1	0	0	0
1	0	1	1	0	0	0	1	1	0	1	0	0	1	0	1	1	1	0	1	0	0	1	1	0	1	0	1	0	1	0	1	0	0	0	1	1	0	1	1	0	0	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1	1	1	1	1	0	1	0	1	1	0	1	0	0	0	1	0	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0	0	1	0	1	0	1	0	0	1	0	1	1	0	1	0	1	0	0	1	0	1	1	1	1	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	0	0	1	0	1	1	0	1	1	1	0	1	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	1	0	1	1	1	1	0	1	1	0	0	1	1	0	0	1	1	0	1	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	1	0	0	1	0	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	0	0	1	1	1	0	0	1	1	0
1	1	0	1	1	0	0	1	1	0	1	1	0	1	0	1	1	0	0	0	1	1	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	1	0	1	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	1	1	0	1	0	0	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	0	1	0	1	0	0	0	1	0	0	1	1	0	1	0	0	1	0	1	1	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	1	1	0	0	1	0	1	0	1	0	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	1	1	1	0	0	1
0	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	0	0	1	1	0	1	1	0	0	1	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	1	1	0	1	0	1	0	1	0	0	1	1	0	0	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	1	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	0	0	0	1	1	1	0	1	1	1	0	1	0	0	1	0	1	1	1	1	0	0	1	1	0	1	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	1	0	0	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	0
1	0	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	0	1	1	0	1	0	1	0	1	1	1	0	1	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	1	1	1	0	0	0	1	0	0	1	0	1	1	1	1	0	1	0	0	0	1	0	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	0	0	0	1	1	1	0	1	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	0	1	0	1	1	0	0	1	1	1	1	0	1	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	1	1	0	1	0	1	0	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	1	1	1	1	0	1	1	1	0	0	0	1	1	0	0	0	1	0	0	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	0	1	0	0	1	0	1	0	1	1	0	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	0	1	0	0	0	1
